"job_title","job_description","requirements","benefits","employment_type","required_experience","required_education","job_function","industry","job_id_or_ref_code","posting_date","expiration_date","company_name","company_profile","company_website","company_size","company_type","company_founded_year","company_social_media_links__-","job_location","interview_location","remote_status","relocation_assistance","application_link_or_email","application_method_type","response_time_claimed","application_deadline","recruiter_name_or_agency","recruiter_contact_info","hiring_manager_name","salary_info_raw","stock_options","relocation_package","job_posting_source","number_of_positions","logo_present","attachments__-","posting_frequency","posting_consistency","external_reviews_available","profile_photos_included","is_real"
"WFH - Data Entry Operator","PERMANENT WORK FROM HOME. An Urgent Requirement For graduates and under graduates for Data Entry. Sal 10 to 35k take home. Required Age 18 to 35 Years. Easy Selection Process. Apply via WhatsApp link.","Any Graduate, Typing Skills, Basic Computer Knowledge, Age 18-35","Permanent Work From Home, Flexible Timings","Full Time","0-5 years","Any Graduate","Data Entry","BPM / BPO","","2025-05-12","","Creative Hands HR","","","","","","https://wa.link/hb9zmh","Coimbatore, Chennai, Bengaluru","","Hybrid","False","https://wa.link/hb9zmh","WhatsApp","Within 24 hours","","Ishrat Farheen","+91 90117 20885","","₹10,000 - ₹35,000 per month","False","False","LinkedIn","1","True","","High","Inconsistent","False","False","0"
"Non Voice & Email Chat Process","Walk in for BPO Non voice process. Good communication required. Email support process. Salary is negotiable. Day Shift. 6 days working, 1 day rotational off. Apply via Naukri.com.","Good communication skills, Graduation not mandatory","Negotiable salary, Day shift","Full-time","0-5 years","Graduation Not Required","Customer Support","BPM / BPO","","2025-05-07","","Creative Hands HR","Creative Hands HR Consultancy is a startup firm formed by young entrepreneurs.","http://www.creativehandshrconsultancy.com/","51-200 employees","","2012","https://www.linkedin.com/company/creative-hands-hr","Coimbatore, Chennai, Bengaluru","","On-site","False","apply@naukri.com","Online","","","Creative Hands HR","","","₹2,00,000 - ₹3,50,000 per annum","False","False","Naukri","50","True","","High","Inconsistent","False","False","0"
"Voice/Non Voice/Data Med Billing","Listening and Typing Data Entry Work. Accounts Management and Claims Management. Freshers welcome. Apply now!","Freshers with UG, Basic typing skills","Food provided, Health insurance, Provident Fund, Weekend off, Incentives, Shift allowance","Full-time","0-5 years","Graduation Not Required","Data Entry","BPM / BPO","","2025-05-06","","Creative Hands HR","","","","","","","Coimbatore, Vijayawada, Visakhapatnam","","On-site","False","apply@naukri.com","Online","","","Creative Hands HR","","","₹2,50,000 - ₹4,00,000 per annum","False","False","Naukri","1","True","","High","Inconsistent","False","False","0"
"Customer Service Associate (Email/Chat Support)","Hiring freshers for email and chat support roles. Handle multiple customer inquiries via email and chat. Apply now via WhatsApp!","Any Bachelor’s Degree, Proven experience in customer service, preferably in e-commerce","","Full-time","0-5 years","Graduation Not Required","Customer Support","BPM / BPO","","2025-05-05","","Creative Hands HR","","","","","","https://wa.link/support123","Coimbatore, Chennai, Bengaluru","","On-site","False","https://wa.link/support123","WhatsApp","Within 24 hours","","Creative Hands HR","","","₹2,50,000 - ₹4,25,000 per annum","False","False","Naukri","100","True","","High","Inconsistent","False","False","0"
"IT/Non IT Job Openings","Immediate joining for BPO/IT support roles across Chennai, Vizag, and Hyderabad. Any degree holders welcome. Apply via Naukri.com.","Any Degree, Freshers welcome","","Full-time","0-2 years","Graduation Not Required","IT Support","Analytics / KPO / Research","","2025-05-05","","Creative Hands HR","","","","","","","Coimbatore, Chennai, Bengaluru","","On-site","False","apply@naukri.com","Online","","","Creative Hands HR","","","₹3,00,000 - ₹4,50,000 per annum","False","False","Naukri","1","True","","High","Inconsistent","False","False","0"
"Assistant/Associate Professor, CS & IT","Hiring Assistant/Associate Professor for a college in Sriperumbudur, Chennai. Immediate joining preferred. Call Hemant for more info.","ME/MTech/PhD in Computer Science or IT, Freshers or experienced","Negotiable salary, Free accommodation","Full-time","0-5 years","M.Tech in Computers","Teaching","Education / Training","","2025-05-03","","Creative Hands HR","","","","","","","Vijayawada, Visakhapatnam, Guntur","","On-site","False","9715166618","Phone","","","Hemant","9715166618","","₹5,00,000 - ₹10,00,000 per annum","False","False","Naukri","1","True","","High","Inconsistent","False","False","0"
"Data Entry Operator","Work-from-home data entry job. Earn up to 30k. Flexible hours. Apply via WhatsApp now!","Basic typing skills, Internet access","Work from home, Flexible hours","Part-time","0-2 years","","Data Entry","","","2025-05-10","","QuickJobs Inc.","","","","","","https://wa.link/dataentry123","Remote","","Remote","False","https://wa.link/dataentry123","WhatsApp","Within 24 hours","","Ravi Kumar","","","₹15,000 - ₹30,000 per month","False","False","LinkedIn","20","False","","High","Inconsistent","False","False","0"
"Chat Support Associate","Work-from-home chat support role. Earn 20k-40k. Flexible hours. Apply via WhatsApp now!","Good communication skills, Smartphone with internet","Work from home, High earnings","Part-time","0-1 years","","Customer Support","","","2025-05-09","","SupportEasy Inc.","","","","","","https://wa.link/chatsupport123","Remote","","Remote","False","https://wa.link/chatsupport123","WhatsApp","Within 24 hours","","Anjali Sharma","","","₹20,000 - ₹40,000 per month","False","False","LinkedIn","15","False","","High","Inconsistent","False","False","0"
"HR Associate","Work-from-home HR associate role. Earn 15k-35k. Flexible hours. Apply via WhatsApp now!","Basic HR knowledge, Smartphone with internet","Work from home, Flexible hours","Part-time","0-2 years","","Human Resources","","","2025-05-08","","HREasy Solutions","","","","","","https://wa.link/hrassociate123","Remote","","Remote","False","https://wa.link/hrassociate123","WhatsApp","Within 24 hours","","Priya Gupta","","","₹15,000 - ₹35,000 per month","False","False","LinkedIn","10","False","","High","Inconsistent","False","False","0"
"Copy Paste Job","Easy work-from-home copy-paste job. Earn 20k-50k. Apply via WhatsApp now!","Basic computer skills, Internet access","Work from home, Easy work","Part-time","0-1 years","","Data Entry","","","2025-05-07","","CopyEasy Inc.","","","","","","https://wa.link/copypaste123","Remote","","Remote","False","https://wa.link/copypaste123","WhatsApp","Within 24 hours","","Vikas Sharma","","","₹20,000 - ₹50,000 per month","False","False","Naukri","15","False","","High","Inconsistent","False","False","0"
"Backend Process Associate","Work-from-home backend process role. Earn 15k-35k. Flexible hours. Apply via WhatsApp now!","Basic computer skills, Good typing speed","Work from home, Flexible hours","Part-time","0-2 years","","Back Office","","","2025-05-06","","BackendEasy Inc.","","","","","","https://wa.link/backendprocess123","Remote","","Remote","False","https://wa.link/backendprocess123","WhatsApp","Within 24 hours","","Neha Kapoor","","","₹15,000 - ₹35,000 per month","False","False","LinkedIn","12","False","","High","Inconsistent","False","False","0"
"Email Writing Job","Work-from-home email writing job. Earn 20k-45k. Apply via WhatsApp now!","Good English skills, Basic computer knowledge","Work from home, High earnings","Part-time","0-1 years","","Data Entry","","","2025-05-05","","EmailJobs Inc.","","","","","","https://wa.link/emailwriting123","Remote","","Remote","False","https://wa.link/emailwriting123","WhatsApp","Within 24 hours","","Rohit Sharma","","","₹20,000 - ₹45,000 per month","False","False","Naukri","10","False","","High","Inconsistent","False","False","0"
"Social Media Associate","Work-from-home social media job. Earn 15k-40k. Flexible hours. Apply via WhatsApp now!","Smartphone with internet, Basic social media knowledge","Work from home, Flexible hours","Part-time","0-1 years","","Marketing","","","2025-05-04","","SocialJobs Inc.","","","","","","https://wa.link/socialmedia123","Remote","","Remote","False","https://wa.link/socialmedia123","WhatsApp","Within 24 hours","","Riya Patel","","","₹15,000 - ₹40,000 per month","False","False","LinkedIn","20","False","","High","Inconsistent","False","False","0"
"Assistant Supervisor","Work-from-home assistant supervisor role. Earn 25k-60k. Flexible hours. Apply via WhatsApp now!","Basic management skills, Smartphone with internet","Work from home, High earnings","Part-time","0-2 years","","Management","","","2025-05-03","","SuperviseEasy Inc.","","","","","","https://wa.link/supervisor123","Remote","","Remote","False","https://wa.link/supervisor123","WhatsApp","Within 24 hours","","Karan Mehta","","","₹25,000 - ₹60,000 per month","False","False","LinkedIn","5","False","","High","Inconsistent","False","False","0"
"Recruitment Associate","Work-from-home recruitment associate role. Earn 20k-50k. Flexible hours. Apply via WhatsApp now!","Basic recruitment knowledge, Smartphone with internet","Work from home, High earnings","Part-time","0-2 years","","Human Resources","","","2025-05-02","","RecruitEasy Inc.","","","","","","https://wa.link/recruitment123","Remote","","Remote","False","https://wa.link/recruitment123","WhatsApp","Within 24 hours","","Suman Rao","","","₹20,000 - ₹50,000 per month","False","False","LinkedIn","7","False","","High","Inconsistent","False","False","0"
"Chat Process Executive","Work-from-home chat process role. Earn 15k-35k. Flexible hours. Apply via WhatsApp now!","Good communication skills, Smartphone with internet","Work from home, Flexible hours","Part-time","0-1 years","","Customer Support","","","2025-05-01","","ChatEasy Inc.","","","","","","https://wa.link/chatprocess123","Remote","","Remote","False","https://wa.link/chatprocess123","WhatsApp","Within 24 hours","","Ankit Verma","","","₹15,000 - ₹35,000 per month","False","False","LinkedIn","10","False","","High","Inconsistent","False","False","0"
"Data Processing Associate","Work-from-home data processing job. Earn 20k-50k. Flexible hours. Apply via WhatsApp now!","Basic computer skills, Good typing speed","Work from home, High earnings","Part-time","0-1 years","","Data Entry","","","2025-04-30","","DataEasy Inc.","","","","","","https://wa.link/dataprocess123","Remote","","Remote","False","https://wa.link/dataprocess123","WhatsApp","Within 24 hours","","Rohit Sharma","","","₹20,000 - ₹50,000 per month","False","False","Naukri","15","False","","High","Inconsistent","False","False","0"
"Backend Work Associate","Work-from-home backend work job. Earn 15k-40k. Flexible hours. Apply via WhatsApp now!","Basic computer skills, Internet access","Work from home, Flexible hours","Part-time","0-1 years","","Back Office","","","2025-04-29","","BackendEasy Inc.","","","","","","https://wa.link/backendwork123","Remote","","Remote","False","https://wa.link/backendwork123","WhatsApp","Within 24 hours","","Pooja Sharma","","","₹15,000 - ₹40,000 per month","False","False","LinkedIn","10","False","","High","Inconsistent","False","False","0"
"HR Internship","Work-from-home HR internship. Stipend 10k-25k. Flexible hours. Apply via WhatsApp now!","Basic HR knowledge, Smartphone with internet","Work from home, Stipend","Internship","0-1 years","","Human Resources","","","2025-04-28","","HREasy Internships","","","","","","https://wa.link/hrinternship123","Remote","","Remote","False","https://wa.link/hrinternship123","WhatsApp","Within 24 hours","","Divya Sharma","","","₹10,000 - ₹25,000 stipend","False","False","LinkedIn","5","False","","High","Inconsistent","False","False","0"
"Typing Job","Work-from-home typing job. Earn 15k-35k. Flexible hours. Apply via WhatsApp now!","Good typing speed, Basic computer skills","Work from home, Flexible hours","Part-time","0-1 years","","Data Entry","","","2025-04-27","","TypeEasy Inc.","","","","","","https://wa.link/typing123","Remote","","Remote","False","https://wa.link/typing123","WhatsApp","Within 24 hours","","Aman Gupta","","","₹15,000 - ₹35,000 per month","False","False","Naukri","10","False","","High","Inconsistent","False","False","0"
"Excel Job","Work-from-home Excel job. Earn 15k-40k. Flexible hours. Apply via WhatsApp now!","Basic Excel skills, Internet access","Work from home, Flexible hours","Part-time","0-1 years","","Data Entry","","","2025-04-26","","ExcelEasy Inc.","","","","","","https://wa.link/exceljob123","Remote","","Remote","False","https://wa.link/exceljob123","WhatsApp","Within 24 hours","","Suresh Kumar","","","₹15,000 - ₹40,000 per month","False","False","Naukri","10","False","","High","Inconsistent","False","False","0"
"Non-Voice Job","Work-from-home non-voice job. Earn 15k-35k. Flexible hours. Apply via WhatsApp now!","Basic computer skills, Internet access","Work from home, Flexible hours","Part-time","0-1 years","","Back Office","","","2025-04-25","","NonVoiceEasy Inc.","","","","","","https://wa.link/nonvoice123","Remote","","Remote","False","https://wa.link/nonvoice123","WhatsApp","Within 24 hours","","Pooja Sharma","","","₹15,000 - ₹35,000 per month","False","False","LinkedIn","10","False","","High","Inconsistent","False","False","0"
"Customer Support Associate","Work-from-home customer support role. Earn 20k-40k. Flexible hours. Apply via WhatsApp now!","Good communication skills, Smartphone with internet","Work from home, Flexible hours","Part-time","0-1 years","","Customer Support","","","2025-04-24","","SupportEasy Inc.","","","","","","https://wa.link/customersupport123","Remote","","Remote","False","https://wa.link/customersupport123","WhatsApp","Within 24 hours","","Anjali Sharma","","","₹20,000 - ₹40,000 per month","False","False","LinkedIn","15","False","","High","Inconsistent","False","False","0"
"Data Entry Associate","Work-from-home data entry role. Earn 15k-30k. Flexible hours. Apply via WhatsApp now!","Basic typing skills, Internet access","Work from home, Flexible hours","Part-time","0-2 years","","Data Entry","","","2025-04-23","","DataEntryEasy Inc.","","","","","","https://wa.link/dataentry456","Remote","","Remote","False","https://wa.link/dataentry456","WhatsApp","Within 24 hours","","Ravi Kumar","","","₹15,000 - ₹30,000 per month","False","False","LinkedIn","20","False","","High","Inconsistent","False","False","0"
"Chat Support Executive","Work-from-home chat support role. Earn 20k-40k. Flexible hours. Apply via WhatsApp now!","Good communication skills, Smartphone with internet","Work from home, High earnings","Part-time","0-1 years","","Customer Support","","","2025-04-22","","ChatSupportEasy Inc.","","","","","","https://wa.link/chatsupport456","Remote","","Remote","False","https://wa.link/chatsupport456","WhatsApp","Within 24 hours","","Anjali Sharma","","","₹20,000 - ₹40,000 per month","False","False","LinkedIn","15","False","","High","Inconsistent","False","False","0"
