job_title,job_description,requirements,benefits,employment_type,required_experience,required_education,job_function,industry,job_id_or_ref_code,posting_date,expiration_date,company_name,company_profile,company_website,company_size,company_type,company_founded_year,company_social_media_links__-,job_location,interview_location,remote_status,relocation_assistance,application_link_or_email,application_method_type,response_time_claimed,application_deadline,recruiter_name_or_agency,recruiter_contact_info,hiring_manager_name,salary_info_raw,stock_options,relocation_package,job_posting_source,number_of_positions,logo_present,attachments__-,posting_frequency,posting_consistency,external_reviews_available,profile_photos_included,is_real
Products & Systems Engineer - C,Job Description This role involves the development and application of engineering practice and knowledge in the creation and assurance of products and solutions across engineering disciplines. Includes defining the fundamental concepts and properties of an engineered system or product; creatively determining a products physical form; function and performance; and the assurance of safety; reliability; availability maintainability. Also addresses the through life support and evolution of systems and products; via provision and support of documentation and information assets; assessment of whole lifecycle environmental impact against environmental regulations and policies; and incorporation of renewable energy sources and clean technologies into product system design. Job Description - Grade Specific Focus on Systems Engineering Product Design. Fully competent in own area. Acts as a key contributor in a more complex critical environment. Proactively acts to understand and anticipates client needs. Manages costs and profitability for a work area. Manages own agenda to meet agreed targets. Develop plans for projects in own area. Looks beyond the immediate problem to the wider implications. Acts as a facilitator; coach and moves teams forward.,Skills (competencies),,,,,Information Technology,IT Services and IT Consulting,4233324756,,,Capgemini,,https://fr.linkedin.com/company/capgemini?trk=public_jobs_topcard-org-name,,,,https://fr.linkedin.com/company/capgemini?trk=public_jobs_topcard-org-name,Bengaluru; Karnataka; India,,,,,,,,,,,,,,LinkedIn,,,,,,,,1
Products & Systems Engineer - Ccc,Job Description This role involves the development and application of engineering practice and knowledge in the creation and assurance of products and solutions across engineering disciplines. Includes defining the fundamental concepts and properties of an engineered system or product; creatively determining a products physical form; function and performance; and the assurance of safety; reliability; availability maintainability. Also addresses the through life support and evolution of systems and products; via provision and support of documentation and information assets; assessment of whole lifecycle environmental impact against environmental regulations and policies; and incorporation of renewable energy sources and clean technologies into product system design. Job Description - Grade Specific Focus on Systems Engineering Product Design. Fully competent in own area. Acts as a key contributor in a more complex critical environment. Proactively acts to understand and anticipates client needs. Manages costs and profitability for a work area. Manages own agenda to meet agreed targets. Develop plans for projects in own area. Looks beyond the immediate problem to the wider implications. Acts as a facilitator; coach and moves teams forward.,Skills (competencies),,,,,Information Technology,IT Services and IT Consulting,4233324756,,,Capgemini,,https://fr.linkedin.com/company/capgemini?trk=public_jobs_topcard-org-name,,,,https://fr.linkedin.com/company/capgemini?trk=public_jobs_topcard-org-name; https://fr.linkedin.com/company/capgemini?trk=public_jobs_topcard-org-name,Bengaluru; Karnataka; India,,,,,,,,,,,,,,LinkedIn,,,,,,,,1
Recruitment Trainee,Job Required: 0–1 year About the Role: We are looking for a dynamic and enthusiastic Recruitment Trainee to join our HR team. This role is ideal for individuals passionate about people; communication; and building careers. As a Recruitment Trainee; you will learn the end-to-end recruitment process; work closely with hiring managers; and support various talent acquisition initiatives. Key Responsibilities: Assist in sourcing; screening; and shortlisting candidates for various job roles Post job openings on job portals; social media; and company career pages Conduct initial HR screening calls to assess candidate suitability Coordinate and schedule interviews between candidates and interview panels Maintain candidate records and status updates in the Applicant Tracking System (ATS) Assist in onboarding and documentation processes for selected candidates Support HR in talent pipeline building; referrals; and recruitment marketing initiatives Stay updated on hiring trends; recruitment tools; and platforms,Title: Recruitment Trainee Experience Requirements: Bachelor’s degree in Human Resources; Business Administration; Psychology; or any related field Strong verbal and written communication skills Good interpersonal skills and ability to engage with people Basic understanding of recruitment life cycle and HR processes Familiarity with LinkedIn; Naukri; or other job portals is a plus Ability to multitask and work in a fast-paced environment Willingness to learn and grow within the HR domain,,,,,Human Resources,Technology; Information and Internet,4232626885,,,Guide & Bridge,,https://in.linkedin.com/company/guideandbridge?trk=public_jobs_topcard-org-name,,,,https://in.linkedin.com/company/guideandbridge?trk=public_jobs_topcard-org-name,India,,,,,,,,,,,,,,LinkedIn,,,,,,,,0
Frontend Developer,Salary : ₹85;000 - ₹95;000 Timing : 10am - 6pm IST REMOTE Company Description Konfid.io is a Berlin-based technology company focused on building secure; scalable; and intelligent digital infrastructure for modern enterprises. Our team specializes in developing advanced Web3; AI; and enterprise software solutions that help businesses streamline operations and unlock new opportunities. With clients ranging from innovative startups to Fortune 500 companies; we’re shaping the future of digital trust and decentralized collaboration. At Konfid.io; you’ll join a diverse and dynamic team working remotely across time zones; dedicated to creating impactful technology in a fast-paced; entrepreneurial environment. Role Description We are looking for a Frontend Developer to join our remote team full-time. In this role; you will take ownership of building and maintaining high-quality; user-friendly web interfaces. You’ll work closely with product designers and back-end developers to deliver features that enhance the user experience on our logistics platform. This is a unique opportunity to contribute to a meaningful product that impacts real-world freight operations across Europe. Qualifications Proficiency in Front-End Development and Responsive Web Design Experience in Web Development Knowledge of Back-End Web Development and Software Development Excellent problem-solving skills and attention to detail Ability to work independently and manage time efficiently Strong understanding of modern web technologies and best practices Bachelor's degree in Computer Science; Information Technology; or related field Experience with version control systems such as Git is a plus,Salary : ₹85;000 - ₹95;000 Timing : 10am - 6pm IST REMOTE Company Description Konfid.io is a Berlin-based technology company focused on building secure; scalable; and intelligent digital infrastructure for modern enterprises. Our team specializes in developing advanced Web3; AI; and enterprise software solutions that help businesses streamline operations and unlock new opportunities. With clients ranging from innovative startups to Fortune 500 companies; we’re shaping the future of digital trust and decentralized collaboration. At Konfid.io; you’ll join a diverse and dynamic team working remotely across time zones; dedicated to creating impactful technology in a fast-paced; entrepreneurial environment. Role Description We are looking for a Frontend Developer to join our remote team full-time. In this role; you will take ownership of building and maintaining high-quality; user-friendly web interfaces. You’ll work closely with product designers and back-end developers to deliver features that enhance the user experience on our logistics platform. This is a unique opportunity to contribute to a meaningful product that impacts real-world freight operations across Europe. Qualifications Proficiency in Front-End Development and Responsive Web Design Experience in Web Development Knowledge of Back-End Web Development and Software Development Excellent problem-solving skills and attention to detail Ability to work independently and manage time efficiently Strong understanding of modern web technologies and best practices Bachelor's degree in Computer Science; Information Technology; or related field Experience with version control systems such as Git is a plus,,,,,Engineering and Information Technology,Software Development,4233470553,,,Konfidio,,https://de.linkedin.com/company/konfidio?trk=public_jobs_topcard-org-name,,,,https://in.linkedin.com/company/guideandbridge?trk=public_jobs_topcard-org-name; https://de.linkedin.com/company/konfidio?trk=public_jobs_topcard-org-name,India,,,,,,,,,,,,,,LinkedIn,,,,,,,,0
Oracle Application Lead (Oracle PLSQL; Forms; Java),Job Description Primary Responsibilities Operates independently to provide quality work products to an engagement. Performs varied and complex duties and tasks that need independent judgment; in order to implement Oracle products and technology to meet customer needs. Applies Oracle methodology; company procedures; and leading practices. Demonstrates expertise to deliver functional and technical solutions on moderately complex customer engagements. May lead the solution design and implementation aspects of engagement(s) ensuring high quality; integrated software solutions within constraints of time and budget. May act as the team lead on projects; providing coaching; guidance and feedback to develop,Skills - FC-T-UBS-Oracle; PL/SQL; D2k Forms and very good knowledge of FLEXCUBE UBS Core; DDA ; FX; MM and Loan modules Candidate should have hands-on Development; Implementation and / or production support experience with any Core Banking product; ideally Oracle Flexcube UBS Sound Oracle DB; Oracle SQL; PL/SQL; D2K; JavaScript; XML; basic Unix shell scripting; Hands on Expertise in Deployments; Backup/Restore Operations and Source Control tools Hands on Expertise in Microsoft Office tools including Word; Excel Good Communication; Presentation and Client Facing skills Secondary Skills - Working knowledge of Oracle development tools; WebLogic server deployments; Oracle Database Functional knowledge of banking systems. Experience on development and implementation of Interfaces; Batch operations; Trouble shooting and resolution of issues encountered in Testing cycles. Good Problem solving skills Good Team handling skills Career Level - IC3 skills of team members. Effectively consults with management of customer organizations. Participates in business development activities. Develops and leads detailed solutions for moderately complex projects. About Us As a world leader in cloud solutions; Oracle uses tomorrow’s technology to tackle today’s challenges. We’ve partnered with industry-leaders in almost every sector—and continue to thrive after 40+ years of change by operating with integrity. We know that true innovation starts when everyone is empowered to contribute. That’s why we’re committed to growing an inclusive workforce that promotes opportunities for all. Oracle careers open the door to global opportunities where work-life balance flourishes. We offer competitive benefits based on parity and consistency and support our people with flexible medical; life insurance; and retirement options. We also encourage employees to give back to their communities through our volunteer programs. We’re committed to including people with disabilities at all stages of the employment process. If you require accessibility assistance or accommodation for a disability at any point; let us know by emailing accommodation-request_mb@oracle.com or by calling +1 888 404 2494 in the United States. Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race; color; religion; sex; national origin; sexual orientation; gender identity; disability and protected veterans’ status; or any other characteristic protected by law. Oracle will consider for employment qualified applicants with arrest and conviction records pursuant to applicable law.,,,,,Consulting,IT Services and IT Consulting,4208321008,,,Oracle,,https://www.linkedin.com/company/oracle?trk=public_jobs_topcard-org-name,,,,https://www.linkedin.com/company/oracle?trk=public_jobs_topcard-org-name,Trivandrum; Kerala; India,,,,,,,,,,,,,,LinkedIn,,,,,,,,0
Software Engineer - SAP GRC,SAP GRC Software Engineer Maersk is a $30bn organisation with 100;000 people that move 20% of the world’s trade; and the largest shipping and logistics company in the world and we are transforming our company into a global integrator of Ke logistics. We are offering you a unique opportunity to help shape that journey and the future organization. As a part of this process; you will have an opportunity to participate in a global IT transformation program that will set the direction of the future business model for this large global organization. We Responsibilities: SAP GRC Software Engineer is responsible for driving the team towards the successful technical delivery of a solution that fits a purpose. This will be done with a focus on cost and ensuring that the correct procedures are in place to assure (code and feature) quality. As SAP GRC Engineer you will be part of the ambitious engineering team with the following tasks: Implement technical execution or responsibilities when appropriate Deliver solutions in a flexible manner be that utilising off the shelve or bespoke applications Write; deliver code and participate in code walkthroughs according to the requirements of the functional specifications Develop or ensure code is at high standard and specification in accordance with current framework Build strong collaborative relationships with engineers; architects; external agencies; vendor staff and partners. Assist as required in scope definition; technical viability scoping and best practice solution design to meet the requirements Where appropriate; provide guidance to the Solution Architect in the development of solutions. Highlight all risks and issues that affect the development or deliveries Form strong and trusted relationship with the Product Owner; ensuring that the Product Owner is fully aware of the technical capabilities and shortcomings of the product allowing for sensible technical investment and debt repayment decisions Work across teams to define efficient solutions and implementation strategies to create highly cohesive implementation across products Mentor peers staff in the software development method; coding and testing techniques where possible Demonstrate interest in improving the company’s technical awareness; depth and use of technology across the business. Participate in the evolution of company level best practices; standards; and policies related to software development. We are looking for: Experience & Technical Skills A minimum of 5+ years experience as a software engineer Practical experience working with SAP Process Control and SAP Risk Management Practical experience working with ABAP development is a plus Experience with deployment and maintenance of SAP GRC product portfolio Experience with working on large scale global teams Highly skilled in writing clean; reusable and efficient code that is easy to read Deep knowledge and understanding of technology; a person who stays relevant with the latest technology advancements and trends Ways of working: Experienced in an Agile/DevOps environment focusing on a Lean engineering Very strong communication and collaboration skills Structured; highly analytical mind-set and excellent problem-solving skills Collaborative; with strong facilitation and people skills / personal impact Highly motivated and work well under pressure A great team player and a strong collaborator Strong opinions loosely held Excellent English verbal and written communication is a must Innovative; with the ability to think outside the box Fact based and result oriented An individual who respects the opinion of others; yet can drive a decision though the team An individual who understand and respects the agile method An individual who wants to contribution to the wider engineering community to define best practices Maersk is committed to a diverse and inclusive workplace; and we embrace different styles of thinking. Maersk is an equal opportunities employer and welcomes applicants without regard to race; colour; gender; sex; age; religion; creed; national origin; ancestry; citizenship; marital status; sexual orientation; physical or mental disability; medical condition; pregnancy or parental leave; veteran status; gender identity; genetic information; or any other characteristic protected by applicable law. We will consider qualified applicants with criminal histories in a manner consistent with all legal requirements. We are happy to support your need for any adjustments during the application and hiring process. If you need special assistance or an accommodation to use our website; apply for a position; or to perform a job; please contact us by emailing accommodationrequests@maersk.com.,Offer: As an organization with global presence; joining Maersk is a wonderful and exciting opportunity for you to work with people of diverse talents & background. We offer a fast paced; challenging and truly international atmosphere with activities spread around the globe. The environment is dynamic with focus on high performance; results; and respect for our employees. There will be the possibility of continuous professional and personal development and for gaining a professional and social network. As a company; we are committed to growing our people. We will provide you with opportunities that broaden your knowledge and strengthen your professional & technical skills. As a Software Engineer; you will be part of a team responsible for building and integrating new solutions within GRC & Corporate Affairs portfolio into our IT Landscape. You will work with development teams & stakeholders in various locations; e.g.; India; UK and Denmark. At Maersk we value the diversity of our talent and will always strive to recruit the best person for the job – we value diversity in all its forms; including but not limited to gender; age; nationality; race; sexual orientation; disability or religious beliefs. We are proud of our diversity and see it as a genuine source of strength for building high performing teams. Key,,,,,Engineering and Information Technology,Transportation; Logistics; Supply Chain and Storage,4214508170,,,A.P. Moller - Maersk,,https://dk.linkedin.com/company/maersk-group?trk=public_jobs_topcard-org-name,,,,https://www.linkedin.com/company/oracle?trk=public_jobs_topcard-org-name; https://dk.linkedin.com/company/maersk-group?trk=public_jobs_topcard-org-name,Pune; Maharashtra; India,,,,,,,,,,,$30,,,LinkedIn,,,,,,,,0
Software Engineer - SAP GRC,SAP GRC Software Engineer Maersk is a $30bn organisation with 100;000 people that move 20% of the world’s trade; and the largest shipping and logistics company in the world and we are transforming our company into a global integrator of Ke logistics. We are offering you a unique opportunity to help shape that journey and the future organization. As a part of this process; you will have an opportunity to participate in a global IT transformation program that will set the direction of the future business model for this large global organization. We Responsibilities: SAP GRC Software Engineer is responsible for driving the team towards the successful technical delivery of a solution that fits a purpose. This will be done with a focus on cost and ensuring that the correct procedures are in place to assure (code and feature) quality. As SAP GRC Engineer you will be part of the ambitious engineering team with the following tasks: Implement technical execution or responsibilities when appropriate Deliver solutions in a flexible manner be that utilising off the shelve or bespoke applications Write; deliver code and participate in code walkthroughs according to the requirements of the functional specifications Develop or ensure code is at high standard and specification in accordance with current framework Build strong collaborative relationships with engineers; architects; external agencies; vendor staff and partners. Assist as required in scope definition; technical viability scoping and best practice solution design to meet the requirements Where appropriate; provide guidance to the Solution Architect in the development of solutions. Highlight all risks and issues that affect the development or deliveries Form strong and trusted relationship with the Product Owner; ensuring that the Product Owner is fully aware of the technical capabilities and shortcomings of the product allowing for sensible technical investment and debt repayment decisions Work across teams to define efficient solutions and implementation strategies to create highly cohesive implementation across products Mentor peers staff in the software development method; coding and testing techniques where possible Demonstrate interest in improving the company’s technical awareness; depth and use of technology across the business. Participate in the evolution of company level best practices; standards; and policies related to software development. We are looking for: Experience & Technical Skills A minimum of 5+ years experience as a software engineer Practical experience working with SAP Process Control and SAP Risk Management Practical experience working with ABAP development is a plus Experience with deployment and maintenance of SAP GRC product portfolio Experience with working on large scale global teams Highly skilled in writing clean; reusable and efficient code that is easy to read Deep knowledge and understanding of technology; a person who stays relevant with the latest technology advancements and trends Ways of working: Experienced in an Agile/DevOps environment focusing on a Lean engineering Very strong communication and collaboration skills Structured; highly analytical mind-set and excellent problem-solving skills Collaborative; with strong facilitation and people skills / personal impact Highly motivated and work well under pressure A great team player and a strong collaborator Strong opinions loosely held Excellent English verbal and written communication is a must Innovative; with the ability to think outside the box Fact based and result oriented An individual who respects the opinion of others; yet can drive a decision though the team An individual who understand and respects the agile method An individual who wants to contribution to the wider engineering community to define best practices Maersk is committed to a diverse and inclusive workplace; and we embrace different styles of thinking. Maersk is an equal opportunities employer and welcomes applicants without regard to race; colour; gender; sex; age; religion; creed; national origin; ancestry; citizenship; marital status; sexual orientation; physical or mental disability; medical condition; pregnancy or parental leave; veteran status; gender identity; genetic information; or any other characteristic protected by applicable law. We will consider qualified applicants with criminal histories in a manner consistent with all legal requirements. We are happy to support your need for any adjustments during the application and hiring process. If you need special assistance or an accommodation to use our website; apply for a position; or to perform a job; please contact us by emailing accommodationrequests@maersk.com.,Offer: As an organization with global presence; joining Maersk is a wonderful and exciting opportunity for you to work with people of diverse talents & background. We offer a fast paced; challenging and truly international atmosphere with activities spread around the globe. The environment is dynamic with focus on high performance; results; and respect for our employees. There will be the possibility of continuous professional and personal development and for gaining a professional and social network. As a company; we are committed to growing our people. We will provide you with opportunities that broaden your knowledge and strengthen your professional & technical skills. As a Software Engineer; you will be part of a team responsible for building and integrating new solutions within GRC & Corporate Affairs portfolio into our IT Landscape. You will work with development teams & stakeholders in various locations; e.g.; India; UK and Denmark. At Maersk we value the diversity of our talent and will always strive to recruit the best person for the job – we value diversity in all its forms; including but not limited to gender; age; nationality; race; sexual orientation; disability or religious beliefs. We are proud of our diversity and see it as a genuine source of strength for building high performing teams. Key,,,,,Engineering and Information Technology,Transportation; Logistics; Supply Chain and Storage,4214508170,,,A.P. Moller - Maersk,,https://dk.linkedin.com/company/maersk-group?trk=public_jobs_topcard-org-name,,,,https://dk.linkedin.com/company/maersk-group?trk=public_jobs_topcard-org-name,Pune; Maharashtra; India,,,,,,,,,,,$30,,,LinkedIn,,,,,,,,0
Software Engineer - SAP GRC,SAP GRC Software Engineer Maersk is a $30bn organisation with 100;000 people that move 20% of the world’s trade; and the largest shipping and logistics company in the world and we are transforming our company into a global integrator of Ke logistics. We are offering you a unique opportunity to help shape that journey and the future organization. As a part of this process; you will have an opportunity to participate in a global IT transformation program that will set the direction of the future business model for this large global organization. We Responsibilities: SAP GRC Software Engineer is responsible for driving the team towards the successful technical delivery of a solution that fits a purpose. This will be done with a focus on cost and ensuring that the correct procedures are in place to assure (code and feature) quality. As SAP GRC Engineer you will be part of the ambitious engineering team with the following tasks: Implement technical execution or responsibilities when appropriate Deliver solutions in a flexible manner be that utilising off the shelve or bespoke applications Write; deliver code and participate in code walkthroughs according to the requirements of the functional specifications Develop or ensure code is at high standard and specification in accordance with current framework Build strong collaborative relationships with engineers; architects; external agencies; vendor staff and partners. Assist as required in scope definition; technical viability scoping and best practice solution design to meet the requirements Where appropriate; provide guidance to the Solution Architect in the development of solutions. Highlight all risks and issues that affect the development or deliveries Form strong and trusted relationship with the Product Owner; ensuring that the Product Owner is fully aware of the technical capabilities and shortcomings of the product allowing for sensible technical investment and debt repayment decisions Work across teams to define efficient solutions and implementation strategies to create highly cohesive implementation across products Mentor peers staff in the software development method; coding and testing techniques where possible Demonstrate interest in improving the company’s technical awareness; depth and use of technology across the business. Participate in the evolution of company level best practices; standards; and policies related to software development. We are looking for: Experience & Technical Skills A minimum of 5+ years experience as a software engineer Practical experience working with SAP Process Control and SAP Risk Management Practical experience working with ABAP development is a plus Experience with deployment and maintenance of SAP GRC product portfolio Experience with working on large scale global teams Highly skilled in writing clean; reusable and efficient code that is easy to read Deep knowledge and understanding of technology; a person who stays relevant with the latest technology advancements and trends Ways of working: Experienced in an Agile/DevOps environment focusing on a Lean engineering Very strong communication and collaboration skills Structured; highly analytical mind-set and excellent problem-solving skills Collaborative; with strong facilitation and people skills / personal impact Highly motivated and work well under pressure A great team player and a strong collaborator Strong opinions loosely held Excellent English verbal and written communication is a must Innovative; with the ability to think outside the box Fact based and result oriented An individual who respects the opinion of others; yet can drive a decision though the team An individual who understand and respects the agile method An individual who wants to contribution to the wider engineering community to define best practices Maersk is committed to a diverse and inclusive workplace; and we embrace different styles of thinking. Maersk is an equal opportunities employer and welcomes applicants without regard to race; colour; gender; sex; age; religion; creed; national origin; ancestry; citizenship; marital status; sexual orientation; physical or mental disability; medical condition; pregnancy or parental leave; veteran status; gender identity; genetic information; or any other characteristic protected by applicable law. We will consider qualified applicants with criminal histories in a manner consistent with all legal requirements. We are happy to support your need for any adjustments during the application and hiring process. If you need special assistance or an accommodation to use our website; apply for a position; or to perform a job; please contact us by emailing accommodationrequests@maersk.com.,Offer: As an organization with global presence; joining Maersk is a wonderful and exciting opportunity for you to work with people of diverse talents & background. We offer a fast paced; challenging and truly international atmosphere with activities spread around the globe. The environment is dynamic with focus on high performance; results; and respect for our employees. There will be the possibility of continuous professional and personal development and for gaining a professional and social network. As a company; we are committed to growing our people. We will provide you with opportunities that broaden your knowledge and strengthen your professional & technical skills. As a Software Engineer; you will be part of a team responsible for building and integrating new solutions within GRC & Corporate Affairs portfolio into our IT Landscape. You will work with development teams & stakeholders in various locations; e.g.; India; UK and Denmark. At Maersk we value the diversity of our talent and will always strive to recruit the best person for the job – we value diversity in all its forms; including but not limited to gender; age; nationality; race; sexual orientation; disability or religious beliefs. We are proud of our diversity and see it as a genuine source of strength for building high performing teams. Key,,,,,Engineering and Information Technology,Transportation; Logistics; Supply Chain and Storage,4214508170,,,A.P. Moller - Maersk,,https://dk.linkedin.com/company/maersk-group?trk=public_jobs_topcard-org-name,,,,https://dk.linkedin.com/company/maersk-group?trk=public_jobs_topcard-org-name,Pune; Maharashtra; India,,,,,,,,,,,$30,,,LinkedIn,,,,,,,,0
Software Developer,Identifier: INST-SD-CD3,Location: Trivandrum For our office in Trivandrum; dSPACE is looking for creative and motivated professionals. You will work on exciting and technologically cutting-edge product development projects; in the areas of control prototyping and Hardware-In-the-Loop (HIL) simulation. We are offering a position; as a Software Developer for one of our products; which is a universal; modular experiment and instrumentation software for seamless ECU development. As part of the AGILE team; you will take responsibility for implementing product requirements in the form of high-quality software solutions. In doing so; you can expect a variety of exciting; challenging and diverse tasks that you will solve together as a team. Your future colleagues are looking forward to working with you on a wide range of challenging subjects. During an intensive induction period; your colleagues will support you to familiarize you with our products and tasks. Your Tasks • You develop; enhance & test software components self-dependently within an experienced agile team. • You coordinate new functionalities with stakeholders. • You realize independently new functionalities. • You participate in Agile software development in C# under Windows®. • You contribute to our DevOps efforts to build; test; and release software faster and more reliable. Your Qualifications • You have a B.Tech/M.Tech university degree in Computer Science/Electronics and Communication; with a minimum 3 years of experience • You are eager to learn and open-minded • You have strong software engineering skills and are proficient in C#; .Net (8) applications and writing great code for them; using WPF - MVVM framework • You have experience in writing NUnit testing and automated tests using Python and are committed to maintaining high code quality and comprehensive test coverage • You are familiar with agile software development and use of Azure® DevOps and Git • You raise concerns over code quality or lacking test cases and find solutions once you see them. • You have excellent English communication skills; both written and verbal What We Offer • A crucial role in a young; dynamic; and fast-growing team. • A work environment that fosters trust; respect; and feedback • An onboarding buddy to integrate you smoothly into our team. • Productivity and improvement time between the development sprints. • A mentor helping you with your personal goals; technical progress in general and your software engineering skills in particular. About us dSPACE is a market innovator and leader in providing solutions and systems for embedded controller software development in Automotive; Aerospace and Manufacturing industries. Founded in Germany in 1988; dSPACE employs over 2;600 dedicated people worldwide; who are committed to making the embedded controls software development process more efficient through innovative tools and services. Working at dSPACE means taking on challenging and varied tasks in a promising and exciting industry. With us; you have responsibility and can shape your personal career. A collegial and cooperative approach is as natural for us as the continuous development of your expertise. If you are ready to join our highly successful international team and take on the challenge of creating yet another success story in India – send us your application (including motivational letter; CV; copies of your academic degree; references from former employers) at career.tvm@dspace.in indicating your earliest possible entry date.,,,,,Engineering,Software Development,4233200233,,,dSPACE,,https://de.linkedin.com/company/dspace-group?trk=public_jobs_topcard-org-name,,,,https://dk.linkedin.com/company/maersk-group?trk=public_jobs_topcard-org-name; https://de.linkedin.com/company/dspace-group?trk=public_jobs_topcard-org-name,Trivandrum; Kerala; India,,,,,,,,,,,,,,LinkedIn,,,,,,,,0
Software Developer,Identifier: INST-SD-CD3,Location: Trivandrum For our office in Trivandrum; dSPACE is looking for creative and motivated professionals. You will work on exciting and technologically cutting-edge product development projects; in the areas of control prototyping and Hardware-In-the-Loop (HIL) simulation. We are offering a position; as a Software Developer for one of our products; which is a universal; modular experiment and instrumentation software for seamless ECU development. As part of the AGILE team; you will take responsibility for implementing product requirements in the form of high-quality software solutions. In doing so; you can expect a variety of exciting; challenging and diverse tasks that you will solve together as a team. Your future colleagues are looking forward to working with you on a wide range of challenging subjects. During an intensive induction period; your colleagues will support you to familiarize you with our products and tasks. Your Tasks • You develop; enhance & test software components self-dependently within an experienced agile team. • You coordinate new functionalities with stakeholders. • You realize independently new functionalities. • You participate in Agile software development in C# under Windows®. • You contribute to our DevOps efforts to build; test; and release software faster and more reliable. Your Qualifications • You have a B.Tech/M.Tech university degree in Computer Science/Electronics and Communication; with a minimum 3 years of experience • You are eager to learn and open-minded • You have strong software engineering skills and are proficient in C#; .Net (8) applications and writing great code for them; using WPF - MVVM framework • You have experience in writing NUnit testing and automated tests using Python and are committed to maintaining high code quality and comprehensive test coverage • You are familiar with agile software development and use of Azure® DevOps and Git • You raise concerns over code quality or lacking test cases and find solutions once you see them. • You have excellent English communication skills; both written and verbal What We Offer • A crucial role in a young; dynamic; and fast-growing team. • A work environment that fosters trust; respect; and feedback • An onboarding buddy to integrate you smoothly into our team. • Productivity and improvement time between the development sprints. • A mentor helping you with your personal goals; technical progress in general and your software engineering skills in particular. About us dSPACE is a market innovator and leader in providing solutions and systems for embedded controller software development in Automotive; Aerospace and Manufacturing industries. Founded in Germany in 1988; dSPACE employs over 2;600 dedicated people worldwide; who are committed to making the embedded controls software development process more efficient through innovative tools and services. Working at dSPACE means taking on challenging and varied tasks in a promising and exciting industry. With us; you have responsibility and can shape your personal career. A collegial and cooperative approach is as natural for us as the continuous development of your expertise. If you are ready to join our highly successful international team and take on the challenge of creating yet another success story in India – send us your application (including motivational letter; CV; copies of your academic degree; references from former employers) at career.tvm@dspace.in indicating your earliest possible entry date.,,,,,Engineering,Software Development,4233200233,,,dSPACE,,https://de.linkedin.com/company/dspace-group?trk=public_jobs_topcard-org-name,,,,https://de.linkedin.com/company/dspace-group?trk=public_jobs_topcard-org-name,Trivandrum; Kerala; India,,,,,,,,,,,,,,LinkedIn,,,,,,,,0
